song_name,artist_name,album_name,release_date,song_id,danceability,energy,tempo,key
Love,Keyshia Cole,The Way It Is,2005-01-01,2Mmid8aKghvsPgaQIFMrPJ,,,,
Love Like This,Faith Evans,Keep the Faith,1998,7MQywXGHEev7JmwwIzMcao,,,,
Love,Daughter,The Wild Youth EP,2011-11-21,6aIkm0WErAfsQ1xazOavfK,,,,
Love,The Sundays,Blind,1992-10-05,0xUetoq2q1rY73Ce4AkTVX,,,,
Good Love,Hannah Laing,Good Love,2023-05-12,0ZVjgfaC2Ptrod9v6p9KFP,,,,
LOVE,PEGGY,LOVE,2022-10-29,5bDO9izGDQj7bdaSgxEBGQ,,,,
Love Is The Way,Thee Sacred Souls,Love Is The Way,2022-10-20,1CKfCj9izL24zGTrO6QTFE,,,,
Love,Mos Def,Black On Both Sides,1999-10-12,1L6YNFDSQa8UjX7vzPXXD4,,,,
Love You Anyway,Luke Combs,Gettin' Old,2023-03-24,2kYevr8cbIAH2ha8210Bnz,,,,
love,lofi.samurai,oldies,2018-07-06,1vgH8Pxm88SZAtNDFj1pKT,,,,
Love Me or Leave Me,Little Mix,Get Weird (Expanded Edition),2015-11-06,1n73Qe6oEprLsUNHXET2pb,,,,
Love,Augan,In Memories,2023-01-10,0wOwHVBQuObCwXrAG6oap0,,,,
Love in Paradise,Jorge Rivera-Herrans,EPIC: The Wisdom Saga (Official Concept Album),2024-08-30,3Hp8GJDsH3E7fumfAACH2k,,,,
Love,Matt White,Best Days,2007-01-01,3mDvi0k4LuCA7ViLf3Qb3O,,,,
Love Generation - Edit,Bob Sinclar,Love Generation (Edit),2005-06-20,7iee007QypdrTXbLVF5KuF,,,,
Love,Mica Levi,Under The Skin (Original Soundtrack Album),2014,5XIROml6NGQvRdDiEQ7Hy7,,,,
Love Shy (Mix Cut),Kristine Blond,We Love House (Mini Mix 001) - Armada Music,2017-11-17,5fw2fT70XHmuzrLSKGTwnK,,,,
Love,Greyboy,15 Years of West Coast Cool,2008-11-04,0iHvpSHYsp4tSrYlvgEh7l,,,,
Love Ain't It,Rita Ora,Descendants: The Rise of Red (Original Soundtrack),2024-07-12,5Su3LLkadGIBGrRFLPI8Mg,,,,
love,flustered,love,2024-09-19,536zOCzremoCB1pb7f8XYr,,,,
Love It If We Made It,The 1975,A Brief Inquiry Into Online Relationships,2018-11-30,6WmIyn2fx1PKQ0XDpYj4VR,,,,
Love,Amy Wadge,Keeping Faith: Series 3,2021-03-26,5IbTY6E4uxw6nA0I1nfJmn,,,,
Love Buzz,Nirvana,Bleach,1989-06-01,5muVpPu8Fj9fXfDbbqDdrZ,,,,
Love,Nix Northwest,"Life's a Bitch, I Just Need an Early Night",2019-10-18,6A4PeOJqTeI1dsP1r3aZf1,,,,
Love Spreads,The Stone Roses,Second Coming,1994-12-05,6JvEXmRh3l2acBzvqavgT9,,,,
Love,Subsonic,Love,2019-05-10,5K9xqmCCLkdtZv7E4CytzI,,,,
Love Train,The O'Jays,Back Stabbers,1972-01-01,28285KFbyCq8sJofn58qlD,,,,
Love,Air,Love 2,2009-10-05,3f3LIPVIMkRi5G11KtRvpl,,,,
Love Of My Life,Harry Styles,Harry's House,2022-05-20,1mw0RgNXIpYRyyCdBQbLgA,,,,
Love,Nipsey Hussle,The Marathon,2013-09-01,20Sbru7Nl35TJsXkSjE0GY,,,,
I Love You So,The Walters,I Love You So,2014-11-28,4SqWKzw0CbA05TGszDgMlc,,,,
Love,Friede,Root Chakra,2024-04-30,4YXMEAxWN9przkNqa3GsME,,,,
Love Language,SZA,SOS,2022-12-09,1eIXYZWEfJO3Na2LCCnIJE,,,,
Love,Doktor,Love,2023-05-12,0w9zOHQ2Y3hrmL1YT9yuCD,,,,
LOVE,Jhené Aiko,Chilombo,2020-03-06,6KtnTQVGjWlGDFAuThCTYk,,,,
Love Machine,Girls Aloud,What Will The Neighbours Say?,2004-01-01,6SHvqMjPEQqyJaxuEzNcr3,,,,
Love,Koe Wetzel,Noise Complaint,2016-08-17,12n0Z1dIlqXZYXx43MSHoG,,,,
Love Me Do - Remastered 2009,The Beatles,Please Please Me (Remastered),1963-03-22,3VbGCXWRiouAq8VyMYN2MI,,,,
Love,Rema,Rave & Roses,2022-03-24,08r8dLobzYIZLrlKlf5zzI,,,,
LOVE HURTS (with Lil Uzi Vert),Destroy Lonely,LOVE LASTS FOREVER,2024-08-30,20oVyPvaVROUvQi0Z9vgWg,,,,
Love,Nancy Adams,Dear Heart,2000-01-01,0A3vD4ErvR6j3PakvY6EBC,,,,
The Lovecats,The Cure,Japanese Whispers,1983-01-01,6q2T5xXao6mTS6LLE88L84,,,,
Love,BUNT.,Love,2023-09-08,2JCFm7pOuEP0cItCq6t3bd,,,,
Love To Last,Hajaj,Last Call For Coco,2021-11-05,492FG3XeaSPRftcsu8vD9k,,,,
Love,The Art Of Noise,Daft,1986-12-15,1kSORioLYEnTW7VEuBAoFG,,,,
Love All (with JAY-Z),Drake,Certified Lover Boy,2021-09-03,4VCbgIdr8ptegWeJpqLVHH,,,,
Love,Daboycharge,Paving Ways,2023-09-13,5eluZaO49Nwwh081a3xmVQ,,,,
Lovers on the Sun (feat. Sam Martin),David Guetta,Listen,2014-11-10,2rgtCOVK2tpfao2VjURn84,,,,
Love,Destiny's Child,Destiny Fulfilled,2004,3lndCdSUURZClwC37tMjKc,,,,
Love Me Like You,Little Mix,Get Weird (Expanded Edition),2015-11-06,6L2uVVPJA9WcDc7zCZ4DHN,,,,
Love,The Cult,Love,1985-10-18,5Rhw4Yn50VR8MQkUUKnxC5,,,,
love you more than me,Montell Fish,love you more than me,2022-07-01,3jc0jdopFsv3dYz5uo8OCr,,,,
Love,EKKSTACY,Love,2020-08-07,3ieYbUAeEknL78oe4mcyBP,,,,
Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",2017-06-02,3z9OnsnvM6SFN2dzrSDdVO,,,,
Love,Harmonic Cloud,Parallel,2022-11-13,4uY5yuTrXjtRzKfAkEfvNv,,,,
Lové,Emma Peters,Dimanche,2022-03-25,53g4gARwjJHVGIqMLAKcYl,,,,
Love,D3AD,Real...,2024-02-09,2YACkh1XNTqz6orqCG2JHm,,,,
Love Someone,Lukas Graham,3 (The Purple Album),2018-10-26,0OCRwXbQRdOZ1OtB4Imsp1,,,,
Love,Keyshia Cole,The Way It Is,2005-01-01,27IHIRL8YMwsp9jilbQquV,,,,
Love Is A Battlefield,Pat Benatar,The Collection,2001-01-01,4p1PizAGdglm2sVvPuFPWs,,,,
Love,Yosuf,Love,2023-01-09,1wnugFeFGJ7VP45WcARGlD,,,,
Love,We Are Messengers,Power,2020-01-31,73cik4xfvTaCcUu2wPV47I,,,,
LOVE YOU BETTER,Future,I NEVER LIKED YOU,2022-04-29,4XJRpBOG0bU3Nxnvam3FnC,,,,
Love,Bertram Gosse,Easy Come,2023-10-08,0YX07RSzILbtLsY5J3yPWd,,,,
Love Never Felt So Good,Michael Jackson,XSCAPE,2014-05-09,48td6xvpokdYwvbl3JIiXP,,,,
LOVE,(G)I-DLE,I love,2022-10-17,6dmMXI9tVrDgFmxpjttZmF,,,,
Love,Damdamgugu,Love,2021-06-18,5eDpB30zICt0Dkl13irQuY,,,,
Fuck Love,XXXTENTACION,17,2017-08-25,7AQim7LbvFVZJE3O8TYgf2,,,,
Love,Keyshia Cole,Love Songs For Her,2021-10-01,11da2dMQkeFZixxHZJYs6m,,,,
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,6ECp64rv50XVz93WvxXMGF,,,,
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,7qEHsqek33rTcFNT9PFqLf,,,,
Love and Light,Etta,Love and Light,2024-05-30,4KHtSL1CTl3mLQUmeS0FzZ,,,,
Love Don't Cost a Thing,Jennifer Lopez,J.Lo,2001-01-23,1fgvJXlcZ7uIddMpqsqw0L,,,,
Loved by You,KIRBY,Loved by You,2016-04-08,5bYOsPMgWyQc94vtLz92ZH,,,,
Love Myself,Hailee Steinfeld,HAIZ,2015-11-13,4cH7XOPBjVUD5Mwo9F2TVz,,,,
But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT | TS The Eras Tour Setlist,2024-10-03,74sZKiwaGtSEEyjhDmi99y,,,,
But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT | TS The Eras Tour Setlist,2024-10-03,2e7grsAJqqWtyywDqlwGLj,,,,
LOVE IN THE AIR,FILM EMPIRE INT'L,STAY WITH ME,2024-09-24,7mUYZMNb2kkgBKk1NxZHfD,,,,
Real Love Baby,Father John Misty,Real Love Baby,2016-07-26,0Z57YWES04xGh3AImDz6Qr,,,,
Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',Lewis Capaldi,Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',2024-08-09,2vBBUQnM6YSN44gbe4uCoH,,,,
Love & Hate,Michael Kiwanuka,Love & Hate,2016-07-15,7oOEFDLSQscl0uGulnIEmG,,,,
California Love - Original Version,2Pac,Greatest Hits,1998-01-01,3ia3dJETSOllPsv3LJkE35,,,,
My Love,Route 94,My Love,2014-02-28,4N1MFKjziFHH4IS3RYYUrU,,,,
All of Me,John Legend,Love In The Future (Expanded Edition),2013-08-30,3U4isOIWM3VvDubwSI3y7a,,,,
Love Changes (Everything),Climie Fisher,Everything,1988-03-14,1y748kOQshZECWk5MddfOv,,,,
Love & War,Kodak Black,Back For Everything,2022-02-25,293mQGfVwgXIOdA1GpiwAt,,,,
Love Come Down - Single Version,"Evelyn ""Champagne"" King","The Best Of Evelyn ""Champagne"" King",1990-04-09,2RCOWNCxDIphjhqTtkwtwR,,,,
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,6GG4yyk3UATdBfTHVgI8PB,,,,
Love Runs Out,OneRepublic,Native,2014-01-01,3cOO5IQtOYs7huq4Z6lYfr,,,,
Love Is a Bitch,Two Feet,Love Is a Bitch,2017-05-19,6MiVIH3fQlmz44jGx2DXn4,,,,
Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,96 Months,2024-08-08,2QMnxA6R1PD0dYyUi5AxZZ,,,,
Love Is A Long Road,Tom Petty,Full Moon Fever,1989-01-01,4PJEK76V3A1S0XzZJuTWh7,,,,
I Love It (feat. Charli XCX),Icona Pop,THIS IS... ICONA POP,2013-08-27,1rhXXcrYp9RRObN5gsmqCU,,,,
love.,wave to earth,0.1 flaws and all.,2023-04-20,5rDXfGMWI6S8wkXR0MHsvv,,,,
Your Love,The Outfield,Play Deep,1985-06-29,0WoFs3EdGOx58yX5BtXvOa,,,,
LOVE AGAIN,The Kid LAROI,LOVE AGAIN,2023-01-27,4sx6NRwL6Ol3V6m9exwGlQ,,,,
Love Is A Game,Adele,30,2021-11-19,2j3GxEsbNYNeEzz86wDY4J,,,,
Love Me Like You Do,Ellie Goulding,恋したくなるラブソング,2023-03-30,4Wui4miiL1JR3QqWcbcKwD,,,,
The Love I Lost,Fried By Fluoride,The Love I Lost,2023-04-28,7tlbZCr7a3BLXCSlwvWMCA,,,,
Love You For A Long Time,Maggie Rogers,Love You For A Long Time,2019-11-21,6QTPacyXkZWG9FMwq6L1hJ,,,,
We Found Love,Rihanna,Talk That Talk,2011-11-18,6qn9YLKt13AGvpq9jfO8py,,,,
Love Nor Money,D.O.D,Love Nor Money,2023-03-10,409lSJ3BoGROb8UqcoVPDC,,,,
Love song,Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,5tyMJlMqaggzvuX7TtlrTe,,,,
Love You Again,Chase Matthew,Come Get Your Memory,2023-06-09,7pvy3nhtBIQUakHS4OjFqB,,,,
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,Frozen - Original Motion Picture Soundtrack,2013-01-01,6PlHaDiKonFXoKz1Lbdn53,,,,
Love Drugs and Sex,A Boogie Wit da Hoodie,Hoodie SZN,2018-12-21,1Gno5IBUHh6vUKp4nxu2Yd,,,,
Love My Way,The Psychedelic Furs,Forever Now,1982,4dk40nfaQav6b4ZsJ9OYUo,,,,
Crazy In Love (feat. Jay-Z),Beyoncé,Dangerously In Love,2003-03-10,0TwBtDAWpkpM3srywFVOV5,,,,
Love Is The Drug,Roxy Music,Siren,1975-10-01,3wtMkvedoWMQ3XTKv7tqcZ,,,,
ALL MY LOVE,Coldplay,Moon Music,2024-10-04,6iYxkBHyMpsgVxUgfy5fSx,,,,
Love Is A Gamble (feat. Kida Kudz),Sneakbo,9 LIVES,2020-04-24,6CTrCqvZzjFj7PqEZM0Vjd,,,,
The Man,Taylor Swift,Lover,2019-08-23,3RauEVgRgj1IuWdJ9fDs70,,,,
lover's grip,Them & I,lover's grip,2023-11-21,3ttgpUD3IQaaJBaAbRQCsM,,,,
Lovers And Friends,Lil Jon & The East Side Boyz,Crunk Juice,2004-11-16,41PWz0hAiU9FqsmjR9Wh62,,,,
Love Game,Bread Beatz,Love Game,2023-10-06,4n81eNyWOkaxBIPrBQk0NJ,,,,
LOVE AGAIN,The Kid LAROI,THE FIRST TIME,2023-11-10,5sZSiLaxwbQZsQSDzhwgo4,,,,
My Love (feat. T.I.),Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2006-09-13,4NeOWqHmlrGRuBvsLJC9rL,,,,
Love Riddim,Rotimi,Walk With Me,2019-05-24,22uU5EVRx6rVpuUANTFEhn,,,,
Romantic Lover,Eyedress,Let's Skip to the Wedding,2020-08-07,7s5VQqrjBtrBgZL4pEa46S,,,,
Love & Reggae,Collie Buddz,Hybrid,2019-05-24,7nT9lGk3bf5rvnVbzPIE3N,,,,
Love Me Back (Fayahh Beat),Trinidad Cardona,Love Me Back (Fayahh Beat),2022-04-04,5ZF6l3xKi3m6YK2dDXAsR5,,,,
Skinny Love,Birdy,Birdy,2011-11-07,6k8kLJFmWkHaTbSLUhJ3H0,,,,
Love Lockdown,Kanye West,808s & Heartbreak,2008-11-24,05bIHrj5BTUoQxXZS6IH3M,,,,
Love For You,LOVELI LORI,Love For You,2024-05-22,3SDJGyVK6sDBkwan0Sxj6R,,,,
i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,6CcJMwBtXByIz4zQLzFkKc,,,,
Loverboy,A-Wall,Helios,2019-08-04,0qXP5fMhxGzxALOkXYUxfP,,,,
Love Don't Cost A Dime (Re-Up),Magixx,Love Don't Cost A Dime (Re-Up),2022-02-09,0hW02S9ACVYANz1ica10jH,,,,
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,4gvrJnKCKIPiacNsWVQwEU,,,,
Burning Love,Elvis Presley,Elvis (Fool),1973-07-16,7zMUCLm1TN9o9JlLISztxO,,,,
Love Ballad,Tove Lo,Queen Of The Clouds: X,2024-09-27,6FYzE7AiAqwbhui7qLQnZ7,,,,
Love Foolosophy - Radio Edit,Jamiroquai,A Funk Odyssey,2001-08-29,0upgxxew2mVAEctrz08jnf,,,,
"Love, of Money",MAVI,Let the Sun Talk,2019-10-18,6qUkNMd34rjpDP5EUy9JNS,,,,
All My Love - Live in Dublin,Coldplay,Moon Music (Full Moon Edition),2024-10-06,3aaXb0yHa5voqqAXALjUJm,,,,
ALL MY LOVE,Coldplay,Moon Music (Full Moon Edition),2024-10-06,1mAMlMxsUBQ4qqQ8FVdjt8,,,,
THE LOVE,Tove Lo,Queen Of The Clouds: X,2024-09-27,7fTVJg2wNfabXrPH6KXehQ,,,,
love is embarrassing,Olivia Rodrigo,GUTS (spilled),2024-03-22,3jhlwdu8nU7hFTEGHUomN3,,,,
Love Hurts (feat. Toosii),Lil Tjay,Destined 2 Win,2021-04-02,2ULQtFHTzUK0DqcqWUlXxw,,,,
Love On,Selena Gomez,Love On,2024-02-22,2fB5YRuD88drKpCXQOAk03,,,,
Love Me For The Both Of Us,CJ Fam,Love Me For The Both Of Us,2024-04-05,62AKbDmQLJsCNGv2DiRUSR,,,,
Ok Love You Bye,Olivia Dean,Ok Love You Bye,2019-11-22,66YywMJbAgzQrGkFKjnSsK,,,,
Love Me,TeeDee,Love Me,2021-11-05,6t192M9A83w0sfFCCuW2ds,,,,
Lovesick,Laufey,Bewitched,2023-09-08,39fD0qvjgk8RarJnoBiDTx,,,,
Only Love Can Hurt Like This,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),2014-03-10,62ke5zFUJN6RvtXZgVH0F8,,,,
